ZIP,HEADCOUNT,DEGREES,DEGREE_RATE,Status
89002,301,152,50.5,Top 25%
89005,117,51,43.6,Middle 50%
89011,142,54,38,Bottom 25%
89012,324,166,51.2,Top 25%
89014,501,225,44.9,Middle 50%
89015,247,108,43.7,Middle 50%
89030,253,92,36.4,Bottom 25%
89031,759,299,39.4,Bottom 25%
89032,468,169,36.1,Bottom 25%
89044,122,70,57.4,Top 25%
89052,792,404,51,Top 25%
89074,786,363,46.2,Middle 50%
89081,298,112,37.6,Bottom 25%
89084,285,114,40,Middle 50%
89101,186,80,43,Middle 50%
89102,165,68,41.2,Middle 50%
89103,266,129,48.5,Middle 50%
89104,279,114,40.9,Middle 50%
89106,165,38,23,Bottom 25%
89107,277,131,47.3,Middle 50%
89108,455,170,37.4,Bottom 25%
89110,828,341,41.2,Middle 50%
89113,346,179,51.7,Top 25%
89115,295,101,34.2,Bottom 25%
89117,658,323,49.1,Top 25%
89118,193,100,51.8,Top 25%
89119,559,305,54.6,Top 25%
89120,231,96,41.6,Middle 50%
89121,432,166,38.4,Bottom 25%
89122,384,172,44.8,Middle 50%
89123,729,328,45,Middle 50%
89128,396,164,41.4,Middle 50%
89129,584,257,44,Middle 50%
89130,329,165,50.2,Top 25%
89131,550,242,44,Middle 50%
89134,207,101,48.8,Middle 50%
89135,290,141,48.6,Middle 50%
89138,220,118,53.6,Top 25%
89139,560,266,47.5,Middle 50%
89141,380,176,46.3,Middle 50%
89142,517,193,37.3,Bottom 25%
89143,195,78,40,Middle 50%
89144,327,170,52,Top 25%
89145,188,85,45.2,Middle 50%
89146,155,73,47.1,Middle 50%
89147,725,368,50.8,Top 25%
89148,637,306,48,Middle 50%
89149,333,149,44.7,Middle 50%
89156,251,85,33.9,Bottom 25%
89169,104,35,33.7,Bottom 25%
89178,412,202,49,Top 25%
89183,461,199,43.2,Middle 50%
