"ACAD_CAREER","ZIP_CODE","HEADCOUNT"
"DENT","07070",1
"DENT","33414",1
"DENT","33707",1
"DENT","41000",1
"DENT","59759",1
"DENT","62034",1
"DENT","66224",1
"DENT","68102",1
"DENT","75034",1
"DENT","77469",1
"DENT","77573",1
"DENT","83709",1
"DENT","84003",1
"DENT","84004",1
"DENT","84005",1
"DENT","84043",1
"DENT","84045",1
"DENT","84095",1
"DENT","84321",1
"DENT","84604",2
"DENT","84606",1
"DENT","84660",2
"DENT","84737",1
"DENT","84770",1
"DENT","84790",3
"DENT","85086",1
"DENT","85225",1
"DENT","86401",1
"DENT","89002",2
"DENT","89011",4
"DENT","89012",9
"DENT","89014",3
"DENT","89015",2
"DENT","89031",7
"DENT","89032",1
"DENT","89044",3
"DENT","89052",5
"DENT","89054",1
"DENT","89074",10
"DENT","89081",1
"DENT","89084",5
"DENT","89086",1
"DENT","89101",4
"DENT","89102",3
"DENT","89103",4
"DENT","89104",3
"DENT","89106",15
"DENT","89107",4
"DENT","89108",4
"DENT","89109",3
"DENT","89110",3
"DENT","89113",10
"DENT","89115",1
"DENT","89117",23
"DENT","89118",1
"DENT","89120",1
"DENT","89121",1
"DENT","89122",2
"DENT","89123",5
"DENT","89128",16
"DENT","89129",10
"DENT","89130",1
"DENT","89131",5
"DENT","89134",4
"DENT","89135",11
"DENT","89138",9
"DENT","89139",7
"DENT","89141",5
"DENT","89142",1
"DENT","89143",2
"DENT","89144",10
"DENT","89145",5
"DENT","89146",6
"DENT","89147",12
"DENT","89148",12
"DENT","89149",2
"DENT","89166",1
"DENT","89178",6
"DENT","89179",1
"DENT","89183",3
"DENT","89410",1
"DENT","89423",1
"DENT","89434",1
"DENT","89503",1
"DENT","89506",1
"DENT","89509",2
"DENT","89511",3
"DENT","89519",1
"DENT","89521",1
"DENT","89523",1
"DENT","89701",1
"DENT","89815",1
"DENT","90005",1
"DENT","90012",1
"DENT","91301",1
"DENT","91306",1
"DENT","91331",1
"DENT","91740",1
"DENT","92127",1
"DENT","92129",1
"DENT","92620",1
"DENT","92833",1
"DENT","93274",1
"DENT","93311",1
"DENT","94030",1
"DENT","94549",1
"DENT","95035",1
"DENT","95135",1
"DENT","95650",1
"DENT","95746",1
"DENT","95843",1
"DENT","96001",1
"DENT","96814",1
"DENT","96821",1
"DENT","L6Y 5",1
"DENT","M5G 1",1
"DENT","T4X 2",1
"GRAD","0000",1
"GRAD","0194",1
"GRAD","1217",1
"GRAD","1350",1
"GRAD","4367",1
"GRAD","8749",1
"GRAD","00000",1
"GRAD","01119",1
"GRAD","01754",1
"GRAD","01952",1
"GRAD","02585",1
"GRAD","02816",1
"GRAD","03220",1
"GRAD","03753",1
"GRAD","05446",1
"GRAD","06360",1
"GRAD","06370",1
"GRAD","06514",1
"GRAD","07753",1
"GRAD","08043",1
"GRAD","08215",1
"GRAD","08244",1
"GRAD","08319",1
"GRAD","08330",1
"GRAD","08360",1
"GRAD","08540",1
"GRAD","09494",1
"GRAD","10006",1
"GRAD","10008",1
"GRAD","10163",1
"GRAD","11000",1
"GRAD","11213",1
"GRAD","11217",1
"GRAD","11360",1
"GRAD","11731",1
"GRAD","11746",1
"GRAD","11755",1
"GRAD","11864",1
"GRAD","12205",1
"GRAD","12214",1
"GRAD","13090",1
"GRAD","13318",1
"GRAD","14233",1
"GRAD","14547",1
"GRAD","14564",1
"GRAD","14580",1
"GRAD","15005",1
"GRAD","15019",1
"GRAD","15122",1
"GRAD","15222",1
"GRAD","15851",1
"GRAD","17065",1
"GRAD","183-0",1
"GRAD","18801",1
"GRAD","19104",1
"GRAD","19129",1
"GRAD","19547",1
"GRAD","19789",1
"GRAD","20003",1
"GRAD","20016",1
"GRAD","20112",1
"GRAD","20602",1
"GRAD","20886",1
"GRAD","20904",1
"GRAD","21113",1
"GRAD","21229",1
"GRAD","21409",1
"GRAD","22301",1
"GRAD","22303",1
"GRAD","22304",1
"GRAD","22315",1
"GRAD","22600",1
"GRAD","22902",1
"GRAD","23234",1
"GRAD","23451",1
"GRAD","23602",1
"GRAD","25500",1
"GRAD","27100",1
"GRAD","27587",1
"GRAD","27949",1
"GRAD","28036",1
"GRAD","29206",1
"GRAD","29631",1
"GRAD","29910",1
"GRAD","30033",1
"GRAD","30080",1
"GRAD","30087",1
"GRAD","31008",1
"GRAD","31904",1
"GRAD","32250",1
"GRAD","32541",1
"GRAD","32821",1
"GRAD","33002",1
"GRAD","33073",1
"GRAD","33321",1
"GRAD","33418",1
"GRAD","33463",1
"GRAD","33467",1
"GRAD","33611",1
"GRAD","33710",1
"GRAD","33919",1
"GRAD","33991",1
"GRAD","34130",1
"GRAD","34221",1
"GRAD","35400",1
"GRAD","36571",1
"GRAD","37323",1
"GRAD","37363",1
"GRAD","38117",1
"GRAD","39206",1
"GRAD","40211",1
"GRAD","40299",1
"GRAD","43005",1
"GRAD","44004",1
"GRAD","44124",1
"GRAD","44145",1
"GRAD","44442",1
"GRAD","44484",1
"GRAD","44714",1
"GRAD","45014",1
"GRAD","45200",1
"GRAD","45247",1
"GRAD","46220",1
"GRAD","46239",1
"GRAD","46530",1
"GRAD","47100",1
"GRAD","48066",1
"GRAD","48076",1
"GRAD","48096",1
"GRAD","48108",1
"GRAD","48185",1
"GRAD","48326",1
"GRAD","48917",1
"GRAD","49062",1
"GRAD","49341",1
"GRAD","49506",1
"GRAD","50008",1
"GRAD","50014",1
"GRAD","50023",1
"GRAD","50300",1
"GRAD","50676",1
"GRAD","51742",1
"GRAD","51750",1
"GRAD","52049",1
"GRAD","52310",1
"GRAD","53168",1
"GRAD","53199",1
"GRAD","53213",1
"GRAD","53214",1
"GRAD","53597",1
"GRAD","53818",1
"GRAD","54126",1
"GRAD","54135",1
"GRAD","55002",1
"GRAD","56775",1
"GRAD","57257",1
"GRAD","57718",1
"GRAD","59102",1
"GRAD","60115",1
"GRAD","60142",1
"GRAD","60449",1
"GRAD","60523",1
"GRAD","60563",1
"GRAD","60616",1
"GRAD","60617",1
"GRAD","60634",1
"GRAD","60651",1
"GRAD","60970",1
"GRAD","61000",1
"GRAD","61007",1
"GRAD","61956",1
"GRAD","64801",1
"GRAD","66605",1
"GRAD","67053",1
"GRAD","67370",1
"GRAD","71067",1
"GRAD","72802",1
"GRAD","73035",1
"GRAD","73077",1
"GRAD","73160",1
"GRAD","74104",1
"GRAD","74820",1
"GRAD","75033",1
"GRAD","75205",1
"GRAD","75243",1
"GRAD","76001",1
"GRAD","76227",1
"GRAD","76248",1
"GRAD","76302",1
"GRAD","77019",1
"GRAD","77021",1
"GRAD","77338",1
"GRAD","77385",1
"GRAD","77449",1
"GRAD","77450",1
"GRAD","78009",1
"GRAD","78052",1
"GRAD","78201",1
"GRAD","78665",1
"GRAD","79936",1
"GRAD","80231",1
"GRAD","80234",1
"GRAD","80303",1
"GRAD","80524",1
"GRAD","80525",1
"GRAD","80526",1
"GRAD","80534",1
